Title,Year,Released,Genre,Runtime,Director,Writer,Actors,Rated,IMDB Rating,Metascore,IMDB Votes,Awards,Box Office,Country,Language,Description,Poster URL
Big Fish,2003.0,09 Jan 2004,"Adventure, Drama, Fantasy",125 min,Tim Burton,"Daniel Wallace, John August","Ewan McGregor, Albert Finney, Billy Crudup",PG-13,8.0,58.0,"467,746",Nominated for 1 Oscar. 69 nominations total,"$66,809,693",United States,"English, Cantonese","United Press International journalist Will Bloom and his French freelance photojournalist wife Josephine Bloom, who is pregnant with their first child, leave their Paris base to return to Will's hometown of Ashton, Alabama on the news that his father, Edward Bloom, stricken with cancer, will soon die, he being taken off chemotherapy treatment. Although connected indirectly through Will's mother/Edward's wife, Sandra Bloom, Will has been estranged from his father for three years since his and Josephine's wedding. Will's issue with his father is the fanciful tales Edward has told of his life all his life, not only to Will but the whole world. As a child when Edward was largely absent as a traveling salesman, Will believed those stories, but now realizes that he does not know his father, who, as he continues to tell these stories, he will never get to know unless Edward comes clean with the truth before he dies. On the brink of his own family life beginning, Will does not want to be the kind of father Edward has been to him. One of those stories from Edward's childhood - that he saw his own death in the glass eye of a witch - led to him embracing life since he would not have to fear death knowing when and how it would eventually come. The question is whether Will will be able to reconcile Edward's stories against his real life, either directly from Edward before he dies and/or from other sources, and thus allow Will to come to a new understanding of himself and his life, past, present and future.",https://m.media-amazon.com/images/M/MV5BNTVlNjc4ZmItMDZjYy00YWZjLTg1OWEtOTNlZjJlN2FlMjEwXkEyXkFqcGc@._V1_SX300.jpg
"Legally Blonde 2: Red, White & Blonde",2003.0,02 Jul 2003,Comedy,95 min,Charles Herman-Wurmfeld,"Amanda Brown, Eve Ahlert, Dennis Drake","Reese Witherspoon, Sally Field, Bob Newhart",PG-13,4.8,47.0,"74,532",3 wins & 5 nominations total,"$90,186,328",United States,English,"Sassy postgrad Elle Woods (Reese Witherspoon) is all about animal rights. In fact, she puts her nuptial plans on hold to head to Washington, D.C. to get an anti-animal testing bill passed. Her building's doorman quickly shows her the ways and workings of our nation's capital.",https://m.media-amazon.com/images/M/MV5BMTkwNzExMjk0MF5BMl5BanBnXkFtZTcwOTUzNDcyMw@@._V1_SX300.jpg
Scary Movie 3,2003.0,24 Oct 2003,Comedy,84 min,David Zucker,"Craig Mazin, Pat Proft, Shawn Wayans","Anna Faris, Charlie Sheen, Regina Hall",PG-13,5.6,49.0,"163,558",2 wins & 4 nominations total,"$110,003,217","United States, Canada",English,"A mysterious killer video tape is circulating around. One look at this tape and you have seven days left to live. News Reporter Cindy Campbell (Faris) witnesses this video tape and tries to work out a way to prevent her death. But this is not the only mystery to appear. Crop circles have been appearing in the local farm of Tom (Sheen) and George (Rex). With help from Aunt Shaneequa (Latifah), Cindy suspects that the aliens may be linked with the killer tape and must now work out both mysteries before it's the end of the world.",https://m.media-amazon.com/images/M/MV5BNDE2NTIyMjg2OF5BMl5BanBnXkFtZTYwNDEyMTg3._V1_SX300.jpg
Bad Santa,2003.0,26 Nov 2003,"Comedy, Crime, Drama",92 min,Terry Zwigoff,"Glenn Ficarra, John Requa","Billy Bob Thornton, Bernie Mac, Lauren Graham",R,7.0,70.0,"161,147",1 win & 12 nominations total,"$60,060,328","Germany, United States",English,"Willie T. Stokes is a convicted con man who's led a miserable life. He drinks heavily and constantly embarrasses himself publicly. He only works once a year dressed as Santa. But then come Christmas Eve, he and his pint-sized helper dwarf Marcus stage elaborate robberies and take their department stores for everything they got. This time around, Willie gets distracted by large women, a bartender who is attracted to Santas, and a kid who's convinced he's the real deal. However, Marcus must once again put up with Willie's heavy drinking and a series of incidents that constantly shoot themselves in the foot. Will Willie and Marcus make it to next Christmas? Or will this be the year the dynamic duo finally face justice?",https://m.media-amazon.com/images/M/MV5BMjA4Njg1MDcwN15BMl5BanBnXkFtZTYwMzAxNjM3._V1_SX300.jpg
Sideways,2004.0,22 Oct 2004,"Comedy, Drama, Romance",127 min,Alexander Payne,"Rex Pickett, Alexander Payne, Jim Taylor","Paul Giamatti, Thomas Haden Church, Virginia Madsen",R,7.5,94.0,"209,135",Won 1 Oscar. 123 wins & 91 nominations total,"$71,503,593",United States,"English, Armenian, French","A week before his friend Jack is to be married, best man Miles and the prospective groom head off to wine country for a week of fun, relaxation and - of course - wine drinking. Miles is the oenophile and does his best to teach Jack a bit about the art of appreciating great wine. All Jack cares about is drinking and carousing, something he accomplishes when he meets the attractive Stephanie at one of the vineyards. Miles is something of a sad sack, a high school English teacher who is a failed writer at heart. He has yet to get over the fact that his wife has divorced him and that she has remarried and he now faces that nerve racking wait for word from a prospective publisher. Miles has an opportunity to start anew when he meets Stephanie's friend Maya but when he let's slip that Jack is about to be married any hope of a relationship seems to be lost.",https://m.media-amazon.com/images/M/MV5BMTU0Mjg3MzkxOV5BMl5BanBnXkFtZTYwNDU1OTY3._V1_SX300.jpg
Garden State,2004.0,20 Aug 2004,"Comedy, Drama, Romance",102 min,Zach Braff,Zach Braff,"Zach Braff, Peter Sarsgaard, Natalie Portman",R,7.4,67.0,"225,381",13 wins & 39 nominations total,"$26,782,316",United States,"English, Klingon","Andrew Largeman is a semi-successful television actor who plays an intellectually disabled quarterback. His somewhat controlling and psychiatrist father has led Andrew (""Large"") to believe that his mother's wheelchair-bound life was his fault. Andrew decides to lay off the drugs that his father and his doctor made him believe that he needed, and began to see life for what it is. He began to feel the pain he had longed for, and began to have a genuine relationship with a girl who had some problems of her own.",https://m.media-amazon.com/images/M/MV5BMjc5MDE0NjkxOF5BMl5BanBnXkFtZTcwNzA0NTkyMw@@._V1_SX300.jpg
Alien vs. Predator,2004.0,13 Aug 2004,"Action, Adventure, Horror",101 min,Paul W.S. Anderson,"Paul W.S. Anderson, Dan O'Bannon, Ronald Shusett","Sanaa Lathan, Lance Henriksen, Raoul Bova",PG-13,5.7,29.0,"222,366",2 wins & 4 nominations total,"$80,282,231","Czech Republic, United Kingdom, Germany, Canada, United States","English, Italian","When a private satellite encounters an unidentified source of heat in Antarctica and it is found to be a pyramid buried deep underground , a search team comprising of top-of-the-line archaeologists and engineers is sent to Antarctica to find out more . Once there , the team comes across signs which indicate that the place is inhabited by an unknown alien species . It is not long before the aliens begin to hunt the team members . At the same time , a trio of coming-of-age Predators have arrived to collect the skulls of the aliens as trophies , and the humans are caught between a deadly battle between the two warring species .",https://m.media-amazon.com/images/M/MV5BMTU4MjIwMTcyMl5BMl5BanBnXkFtZTYwMTYwNDA3._V1_SX300.jpg
Dawn of the Dead,2004.0,19 Mar 2004,Horror,101 min,Zack Snyder,"George A. Romero, James Gunn","Sarah Polley, Ving Rhames, Mekhi Phifer",R,7.2,59.0,"278,487",1 win & 17 nominations total,"$59,020,957","United States, Canada, Japan, France",English,"Ana goes home to her peaceful suburban residence, but she is unpleasantly surprised the morning that follows when her husband is brutally attacked by her zombified neighbor. In the chaos of her once picturesque neighborhood, Ana flees and stumbles upon a police officer named Kenneth, along with more survivors who decide that their best chances of survival would be found in the deserted Crossroads Shopping Mall. When supplies begin running low and other trapped survivors need help, the group comes to the realization that they cannot stay put forever at the Shopping Mall and devise a plan to escape.",https://m.media-amazon.com/images/M/MV5BM2ZiYjNlMWYtNTc2My00ZTM4LWJhMjQtM2FlOWM0ZmE0Yjg1XkEyXkFqcGc@._V1_SX300.jpg
King Arthur,2004.0,07 Jul 2004,"Action, Adventure, Drama",126 min,Antoine Fuqua,David Franzoni,"Clive Owen, Stephen Dillane, Keira Knightley",PG-13,6.3,46.0,"178,791",4 wins & 8 nominations total,"$51,882,244","Ireland, United Kingdom, United States","English, Latin, Irish Gaelic, Welsh, Gaelic","In 400 AD, the Roman Empire extends to Britain and the Romans become impressed with the fight skills of the warrior Sarmatian people, which are spared, but have to send their sons to serve Rome in the cavalry for fifteen years. Only after these services, these knights are free to return home. King Arthur and the Knights of the Round Table have their last mission before achieving their freedom.",https://m.media-amazon.com/images/M/MV5BMTk4MTk1NjI0OV5BMl5BanBnXkFtZTcwNDQxOTUyMQ@@._V1_SX300.jpg
Bridget Jones: The Edge of Reason,2004.0,19 Nov 2004,"Comedy, Drama, Romance",108 min,Beeban Kidron,"Helen Fielding, Andrew Davies, Richard Curtis","Renée Zellweger, Colin Firth, Hugh Grant",R,6.0,44.0,"124,991",11 nominations total,"$40,226,215","France, Ireland, United Kingdom, United States","English, German, Thai","This story picks up four weeks after the first movie, and already Bridget Jones (Renée Zellweger) is becoming uncomfortable in her relationship with Mark Darcy (Colin Firth). Apart from discovering that he's a conservative voter, she has to deal with a new boss, strange contractor, and the worst vacation of her life.",https://m.media-amazon.com/images/M/MV5BOTU1MTM1ZTUtMzcxNy00OTRiLTllNzItN2U3MGQ4YTQzYWE4XkEyXkFqcGc@._V1_SX300.jpg
Catwoman,2004.0,23 Jul 2004,"Action, Crime, Fantasy",104 min,Pitof,"Bob Kane, Theresa Rebeck, John Brancato","Halle Berry, Sharon Stone, Benjamin Bratt",PG-13,3.4,27.0,"127,925",13 wins & 8 nominations total,"$40,202,379",United States,"English, Spanish","Catwoman is the story of shy, sensitive artist Patience Philips, a woman who can't seem to stop apologizing for her own existence. She works as a graphic designer for Hedare Beauty, a mammoth cosmetics company on the verge of releasing a revolutionary anti-aging product. When Patience inadvertently happens upon a dark secret her employer is hiding, she finds herself in the middle of a corporate conspiracy. What happens next changes Patience forever. In a mystical twist of fate, she is transformed into a woman with the strength, speed, agility and ultra-keen senses of a cat. With her newfound prowess and feline intuition, Patience becomes Catwoman, a sleek and stealthy creature balancing on the thin line between good and bad. Like any wildcat, she's dangerous, elusive and untamed. Her adventures are complicated by a burgeoning relationship with Tom Lone, a cop who has fallen for Patience but cannot shake his fascination with the mysterious Catwoman, who appears to be responsible for a string of crime sprees plaguing the city.",https://m.media-amazon.com/images/M/MV5BMjA4MzM0NDAzOF5BMl5BanBnXkFtZTcwMDY3MDYyMQ@@._V1_SX300.jpg
Mysterious Skin,2004.0,24 Jun 2005,Drama,105 min,Gregg Araki,"Gregg Araki, Scott Heim","Brady Corbet, Joseph Gordon-Levitt, Elisabeth Shue",Unrated,7.6,74.0,"79,171",5 wins & 9 nominations total,"$713,240","United States, Netherlands",English,"A gay teenage prostitute and another teen, both from the same small town in Kansas, narrate separate stories from their childhoods. The prostitute's story is about a disturbing homosexual encounter with his pedophile baseball coach, and the other teen's story revolves around an amnesia blackout during which he thinks he may have been abducted by aliens. Later, the second teen finds clues linking the gay prostitute (now living in New York City) to his possible alien abduction, so he tracks him down to finally seek out the truth.",https://m.media-amazon.com/images/M/MV5BNDhiY2U2NDMtMzQ4Ny00YzRlLTk5NDUtOTVkODIzYTZjNDhhXkEyXkFqcGc@._V1_SX300.jpg
Meet the Fockers,2004.0,22 Dec 2004,"Comedy, Romance",115 min,Jay Roach,"Jim Herzfeld, Marc Hyman, John Hamburg","Ben Stiller, Robert De Niro, Blythe Danner",PG-13,6.3,41.0,"294,391",2 wins & 7 nominations total,"$279,261,160",United States,"English, Spanish, Hebrew","Having given permission to male nurse Greg Focker to marry his daughter, ex-CIA man Jack Byrnes and his wife travel to Miami to Greg's parents, who this time around are Mr. and Mrs. Focker, who are as different from them as can be. As asked in the first movie, what sort of people name their son Gaylord M. Focker?",https://m.media-amazon.com/images/M/MV5BMGI0NDZhODctZWYwNC00ZGZhLTg2N2UtMzdiZjM0OTM4NTY0XkEyXkFqcGc@._V1_SX300.jpg
Scooby-Doo 2: Monsters Unleashed,2004.0,26 Mar 2004,"Adventure, Comedy, Family",93 min,Raja Gosnell,"William Hanna, Joseph Barbera, James Gunn","Freddie Prinze Jr., Sarah Michelle Gellar, Matthew Lillard",PG,5.3,34.0,"68,191",2 wins & 4 nominations total,"$84,239,132","United States, Canada",English,"When Mystery, Inc. are guests of honor at the grand opening of the Coolsville Museum of Criminology, a masked villain shows up and creates havoc before stealing the costumes of the gang's most notorious villains: Black Knight Ghost, Pterodactyl Ghost and Tar Monster. Could it be that their nemesis, mad scientist Jonathan Jacobo has returned and is trying to recreate their deadliest enemies? Velma has a crush on the museum curator Patrick Wisely despite her fears of intimacy but why is he acting so suspicious? The Mystery Gang is hard pressed to succeed this time, since annoying television reporter Heather Jasper-Howe insists they are buffoons.",https://m.media-amazon.com/images/M/MV5BMjEzNzk3NTE1Ml5BMl5BanBnXkFtZTYwODM1MTU3._V1_SX300.jpg
